attendance_rate,avg_test_score,engagement_time,assignment_completion,weak_topics_count,risk
0.567,84.9,86.0,0.826,2,1
0.872,79.5,53.8,0.844,4,0
0.624,88.3,36.4,0.603,6,1
0.549,79.9,70.7,0.71,5,1
0.965,50.0,126.2,0.92,3,1
0.979,89.3,77.0,0.592,4,1
0.624,48.7,122.9,0.92,0,1
0.906,82.6,43.8,0.716,3,1
0.346,54.0,23.1,0.839,5,1
0.663,79.1,36.8,0.839,8,1
0.887,30.0,111.3,0.846,0,1
0.84,57.5,141.2,0.714,1,0
0.673,70.9,71.2,0.53,4,1
0.45,42.5,139.0,0.644,2,1
0.382,80.6,151.7,0.676,3,0
0.36,63.5,266.3,0.488,5,1
0.923,81.6,90.7,0.511,6,0
0.373,60.9,77.3,0.433,2,1
0.518,96.6,51.0,0.661,3,1
0.475,75.2,181.4,0.607,6,1
0.841,79.0,26.0,0.593,5,1
0.752,68.8,68.8,0.561,2,1
0.313,37.7,21.0,0.574,3,1
0.491,69.9,23.1,0.624,4,1
0.684,73.1,76.7,0.835,6,1
0.806,73.0,244.5,0.579,4,0
0.745,62.0,34.2,0.969,2,1
0.782,100.0,138.5,0.916,6,0
0.427,56.4,83.0,0.9,8,1
0.93,82.1,191.1,0.433,4,1
0.745,74.5,99.4,0.664,1,0
0.98,72.9,142.9,0.74,5,0
0.447,78.0,78.4,0.55,1,1
0.99,65.4,104.2,0.876,2,0
0.371,55.1,94.8,0.874,4,1
0.921,46.2,20.5,0.952,1,1
0.496,75.9,78.9,0.763,2,1
0.743,87.9,78.7,0.809,5,1
0.319,69.6,19.8,0.835,1,1
0.528,66.8,49.3,0.765,4,1
0.594,60.6,86.0,0.771,4,1
0.666,62.2,57.0,0.614,3,1
0.318,80.9,150.9,0.553,4,1
0.322,77.7,52.5,0.758,6,1
0.36,82.8,120.8,0.921,2,0
0.755,87.6,170.4,0.887,2,1
0.598,76.1,49.7,0.941,2,1
0.495,62.7,167.1,0.727,7,1
0.357,100.0,33.3,0.827,8,1
0.554,58.7,77.3,0.466,4,1
0.66,52.4,199.1,0.695,6,1
0.455,87.1,96.3,0.59,6,1
0.993,63.1,25.2,0.897,2,1
0.644,47.8,15.0,0.815,7,1
0.556,63.1,75.8,0.63,4,1
